task,instance_id,condition,gold_answer,bertscore_f1,bt_bertscore,gpt_orig_answer,gpt_para_answer,gpt_orig_logprob,gpt_para_logprob,llama_orig_answer,llama_para_answer,gemma_orig_answer,gemma_para_answer,gpt_consistent,gpt_orig_correct,gpt_para_correct,gpt_semantic_drift,llama_consistent,llama_orig_correct,llama_para_correct,llama_semantic_drift,gemma_consistent,gemma_orig_correct,gemma_para_correct,gemma_semantic_drift,gpt_logprob_gap
trivia_qa,3648,lexical,Khaki,0.9887549877166748,0.9887549877166748,Khaki uniforms,Khaki uniforms,-0.114373215,-0.26297832,"The Khaki uniform. In 1845, the British Army introduced khaki uniforms as a lighter color to make it easier for Indian troops to distinguish themselves from local civilians and avoid suspicion during military operations. This change aimed to improve their effectiveness","The Indian flannel jacket. This is the correct answer to the trivia question as it refers to the initial uniform worn by British soldiers in India in 1845, which consisted of a dark blue coat and trousers, along with a white shirt","The first uniform worn by British soldiers in India in 1845 was the ""Solemn League Coat of Arms"" (SLCA). This coat of arms featured a shield with a lion's head and claws, symbolizing loyalty to the","The ""Sole""",True,True,True,5.9604645e-08,False,True,False,0.1204679,False,False,False,0.15696472,0.148605105
trivia_qa,3648,syntactic,Khaki,0.9689446091651917,0.984305739402771,Khaki uniforms,Khaki uniforms,-0.13630614,-0.08494285,"The Khaki uniform. In 1845, the British Army introduced khaki uniforms as a lighter color to make it easier for Indian troops to distinguish themselves from local civilians and avoid suspicion during military operations. This change aimed to improve their effectiveness","Khaki uniforms. The khaki uniform was introduced by the British Army in India in 1845 as a practical alternative to the traditional red coats worn by Indian troops, which were considered unsuitable for use in tropical climates. The name ""","The first uniform worn by British soldiers in India in 1845 was the ""Solemn League Coat of Arms"" (SLCA). This coat of arms featured a shield with a lion's head and claws, symbolizing loyalty to the","The British soldiers in India first wore the ""Sole"" in 1845. This was a distinctive badge that identified them as British troops and was worn on their left shoulder. It became an iconic symbol of British rule in India, representing",True,True,True,5.9604645e-08,False,True,True,0.09400153,False,False,False,0.114747286,-0.05136328999999999
trivia_qa,3648,voice,Khaki,0.9689446091651917,0.984305739402771,Khaki uniforms,Khaki uniforms,-0.12671734,-0.08494285,"The Khaki uniform. In 1845, the British Army introduced khaki uniforms as a lighter color to make it easier for Indian troops to distinguish themselves from local civilians and avoid suspicion during military operations. This change aimed to improve their effectiveness","Khaki uniforms. The khaki uniform was introduced by the British Army in India in 1845 as a practical alternative to the traditional red coats worn by Indian troops, which were considered unsuitable for use in tropical climates. The name ""","The first uniform worn by British soldiers in India in 1845 was the ""Solemn League Coat of Arms"" (SLCA). This coat of arms featured a shield with a lion's head and claws, symbolizing loyalty to the","The British soldiers in India first wore the ""Sole"" in 1845. This was a distinctive badge that identified them as British troops and was worn on their left shoulder. It became an iconic symbol of British rule in India, representing",True,True,True,5.9604645e-08,False,True,True,0.09400153,False,False,False,0.114747286,-0.04177449000000001
trivia_qa,3648,formality,Khaki,0.9782121181488036,0.984305739402771,Khaki uniforms,Khaki uniforms,-0.11526319,-0.31149694,"The Khaki uniform. In 1845, the British Army introduced khaki uniforms as a lighter color to make it easier for Indian troops to distinguish themselves from local civilians and avoid suspicion during military operations. This change aimed to improve their effectiveness","Khaki uniforms. In 1845, British soldiers in India wore khaki uniforms for the first time as part of their uniform changes to adapt to the changing climate and terrain of the subcontinent. The khaki color was chosen because it","The first uniform worn by British soldiers in India in 1845 was the ""Solemn League Coat of Arms"" (SLCA). This coat of arms featured a shield with a lion's head and claws, symbolizing loyalty to the",The Oxford military uniform. ,True,True,True,5.9604645e-08,False,True,True,0.09230894,False,False,False,0.14018816,0.19623374999999998
trivia_qa,819,lexical,Al Capone,0.97061288356781,0.9823194146156312,Al Capone,Roy Gardner,-0.014043973,-0.3661839,"John ""Machine Gun"" Kelly.","Robert Stroud, also known as the ""Birdman of Alcatraz,"" was released from Alcatraz prison on November 23, 1939. He had been serving time for murder and attempted rape. Stroud became famous",John D. Rock,Robert E. Lee,False,True,False,0.12039518,False,False,False,0.15427154,False,False,False,0.08949679,0.352139927
trivia_qa,819,syntactic,Al Capone,0.9872773885726928,0.983468234539032,Al Capone,Al Capone,-0.014043973,-0.017688133,"John ""Machine Gun"" Kelly.","George ""Machine Gun"" Kelly. To find the answer to this trivia question, I would search for information about the release of a US gangster from Alcatraz prison in November 1939. After researching, it is clear that George",John D. Rock,"John D. Rockwell Jr. (also known as ""The Rock"")",True,True,True,0.0,False,False,False,0.11308944,False,False,False,0.08589661,0.003644160000000002
trivia_qa,819,voice,Al Capone,0.9583971500396729,0.9560739398002625,Al Capone,Al Capone,-0.014043973,-0.0061243135,"John ""Machine Gun"" Kelly.",Al Capone.,John D. Rock,Jack D. Charles,True,True,True,0.0,False,False,True,0.1155045,False,False,False,0.04716468,-0.007919659499999999
trivia_qa,819,formality,Al Capone,0.963814616203308,0.969672441482544,Al Capone,Frank Morris,-0.010439278,-0.7530445,"John ""Machine Gun"" Kelly.","John ""Doc"" Miller. To find the answer to this trivia question, I would search for information about Alcatraz inmates and their escape attempts. After researching, it is clear that John ""Doc"" Miller was an inmate at Alcatraz who",John D. Rock,John D. Rockwell Jr.,False,True,False,0.10053122,False,False,False,0.13856477,False,False,False,0.059431195,0.742605222
trivia_qa,9012,lexical,Apache,0.9642025828361512,0.9476099014282228,Apache,Chiricahua Apache,-0.4159561,-0.5657634,The Apache tribe.,The Chiricahua Apache.,Navajo,Navajo,False,True,True,0.14857405,False,True,True,0.09578335,True,False,False,5.9604645e-08,0.14980730000000003
trivia_qa,9012,syntactic,Apache,0.952244222164154,0.9309532642364502,Apache,Apache,-0.4159561,-0.08931064,The Apache tribe.,Geronimo was the chief of the Apache tribe.,Navajo,Apache,True,True,True,-1.1920929e-07,False,True,True,0.062404096,False,False,True,0.10095072,-0.32664546
