task,instance_id,condition,original,paraphrase,back_translation,changes_desc,answer,endings,passage,bertscore_f1,bt_bertscore
trivia_qa,3648,lexical,What was first worn by British soldiers in India in 1845?,What was initially worn by British soldiers in India in 1845?,What was initially worn by British soldiers in India in 1845?,"['first', 'initially']",Khaki,,,0.988755,0.988755
trivia_qa,3648,syntactic,What was first worn by British soldiers in India in 1845?,British soldiers in India first wore what in 1845?,What did British soldiers in India first wear in 1845?,Changed from a simple question structure to an embedded question structure,Khaki,,,0.9689446,0.98430574
trivia_qa,3648,voice,What was first worn by British soldiers in India in 1845?,British soldiers in India first wore what in 1845?,What did British soldiers in India first wear in 1845?,passive to active,Khaki,,,0.9689446,0.98430574
trivia_qa,3648,formality,What was first worn by British soldiers in India in 1845?,What did British soldiers in India wear first in 1845?,What did British soldiers in India first wear in 1845?,formal to casual,Khaki,,,0.9782121,0.98430574
trivia_qa,819,lexical,Which US gangster was released from Alcatraz prison in November 1939?,Which American criminal was freed from Alcatraz penitentiary in November 1939?,Which American criminal was released from Alcatraz prison in November 1939?,,Al Capone,,,0.9706129,0.9823194
trivia_qa,819,syntactic,Which US gangster was released from Alcatraz prison in November 1939?,"In November 1939, which US gangster was released from Alcatraz prison?","In November 1939, which American gangster was released from Alcatraz prison?",Changed from a question to a declarative sentence with an embedded question,Al Capone,,,0.9872774,0.98346823
trivia_qa,819,voice,Which US gangster was released from Alcatraz prison in November 1939?,Alcatraz prison released which US gangster in November 1939?,Alcatraz prison released which American gangster in November 1939?,active to passive,Al Capone,,,0.95839715,0.95607394
trivia_qa,819,formality,Which US gangster was released from Alcatraz prison in November 1939?,Who was the American gangster that got out of Alcatraz prison in November 1939?,Who was the American gangster who escaped from Alcatraz prison in November 1939?,formal to casual,Al Capone,,,0.9638146,0.96967244
trivia_qa,9012,lexical,Of which tribe of Red Indians was Geronimo a chief,Of which clan of Native Americans was Geronimo a leader,Of which Native American tribe was Geronimo the chief?,"['tribe', 'Red Indians', 'chief']",Apache,,,0.9642026,0.9476099
trivia_qa,9012,syntactic,Of which tribe of Red Indians was Geronimo a chief,Geronimo was a chief of which tribe of Red Indians,Geronimo was a chief of which tribe of Native Americans?,Changed from a question to a statement with embedded question,Apache,,,0.9522442,0.93095326
trivia_qa,9012,voice,Of which tribe of Red Indians was Geronimo a chief,Which tribe of Red Indians was Geronimo a chief of?,Of which tribe of red Indians was Geronimo chief?,active to passive,Apache,,,0.9775428,0.96735924
trivia_qa,9012,formality,Of which tribe of Red Indians was Geronimo a chief,What tribe of Native Americans was Geronimo the chief of?,Of which Native American tribe was Geronimo the chief?,formal to casual,Apache,,,0.94797695,0.9476099
trivia_qa,8024,lexical,Which rank of the RAF is equivalent to Major in the British Army?,Which position of the RAF is equal to Major in the British Army?,What position in the RAF is equivalent to Major in the British Army?,"['rank', 'position', 'equivalent', 'equal']",Squadron Leader,,,0.98566115,0.984414
trivia_qa,8024,syntactic,Which rank of the RAF is equivalent to Major in the British Army?,What rank of the RAF is the equivalent of Major in the British Army?,What is the RAF rank equivalent to Major in the British Army?,changed from a fronted wh-question to a main clause question,Squadron Leader,,,0.9893794,0.97339094
trivia_qa,8024,voice,Which rank of the RAF is equivalent to Major in the British Army?,What rank of the RAF is equivalent to Major in the British Army?,What is the RAF rank equivalent to Major in the British Army?,active to passive,Squadron Leader,,,0.99608636,0.97339094
trivia_qa,8024,formality,Which rank of the RAF is equivalent to Major in the British Army?,What's the RAF rank that's the same as Major in the British Army?,What is the RAF rank equivalent to Major in the British Army?,formal to casual,Squadron Leader,,,0.9589457,0.97339094
trivia_qa,7314,lexical,Name the capital city of the Canadian Province of British Columbia?,Identify the capital city of the Canadian Province of British Columbia?,Identify the capital of the Canadian province of British Columbia?,"['Name', 'capital', 'of', 'Identify']",VICTORIA,,,0.97297364,0.95840067
trivia_qa,7314,syntactic,Name the capital city of the Canadian Province of British Columbia?,What is the capital city of the Canadian Province of British Columbia called?,What is the name of the capital of the Canadian province of British Columbia?,Changed from imperative to interrogative structure,VICTORIA,,,0.9551081,0.95344186
trivia_qa,7314,voice,Name the capital city of the Canadian Province of British Columbia?,What is the capital city of the Canadian Province of British Columbia?,What is the capital of the Canadian province of British Columbia?,active to passive,VICTORIA,,,0.9676668,0.9570933
trivia_qa,7314,formality,Name the capital city of the Canadian Province of British Columbia?,What's the capital city of the Canadian Province of British Columbia?,What is the capital of the Canadian province of British Columbia?,formal to casual,VICTORIA,,,0.9683635,0.9570933
trivia_qa,4572,lexical,Quitline is a system of centres to help people to quit what?,Quitline is a system of centres to assist individuals to cease what?,Quitline is a system of centers to help individuals quit what?,"['help', 'people', 'quit']",Tobacco or alcohol,,,0.9692822,0.98747116
trivia_qa,4572,syntactic,Quitline is a system of centres to help people to quit what?,What is Quitline a system of centres to help people to quit?,"What is Quitline, a system of centers to help people quit smoking?",Changed from a direct question to an embedded question,Tobacco or alcohol,,,0.94664466,0.94265515
trivia_qa,4572,voice,Quitline is a system of centres to help people to quit what?,What is Quitline a system of centres to help people quit?,"What is Quitline, a system of centers to help people quit smoking?",active to passive,Tobacco or alcohol,,,0.94427824,0.94265515
trivia_qa,4572,formality,Quitline is a system of centres to help people to quit what?,What do Quitline centers help people quit?,What do Quitline centers do to help people quit smoking?,formal to casual,Tobacco or alcohol,,,0.90452945,0.9021794
trivia_qa,3358,lexical,To what note is the top string on a six-string guitar normally tuned?,To which pitch is the highest string on a six-string guitar typically adjusted?,At what height is the highest string of a six-string guitar typically set?,"['note', 'tuned', 'top']",E,,,0.96919405,0.95796686
trivia_qa,3358,syntactic,To what note is the top string on a six-string guitar normally tuned?,What note is the top string on a six-string guitar normally tuned to?,To what note is the highest string of a six-string guitar normally tuned?,Changed from a prepositional phrase to an embedded question,E,,,0.98789525,0.986746
trivia_qa,3358,voice,To what note is the top string on a six-string guitar normally tuned?,What note is the top string on a six-string guitar normally tuned to?,To what note is the highest string of a six-string guitar normally tuned?,active to passive,E,,,0.98789525,0.986746
trivia_qa,3358,formality,To what note is the top string on a six-string guitar normally tuned?,What note is the highest string on a six-string guitar usually tuned to?,What note is usually given to the highest string of a six-string guitar?,formal to casual,E,,,0.97365594,0.954663
trivia_qa,17870,lexical,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?","Named for its chairperson, The Warren Commission released its ultimate report on September 27, 1965. What incident was it established to examine?","Named after its chairman, the Warren Commission published its final report on September 27, 1965. What incident was it created to examine?",,JFK Assassination,,,0.9738623,0.97884583
trivia_qa,17870,syntactic,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?","What event was The Warren Commission, named for its chairman, seated to investigate when it published its final report on Sept 27, 1965?","What event was the Warren Commission, named after its chairman, tasked with investigating when it published its final report on September 27, 1965?",moved the introductory phrase 'Named for its chairman' to the beginning of the question,JFK Assassination,,,0.9587505,0.9544632
trivia_qa,17870,voice,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?","What event was The Warren Commission seated to investigate, named for its chairman, when it published its final report on Sept 27, 1965?","What event was the Warren Commission tasked with investigating, named after its chairman, when it published its final report on September 27, 1965?",active to passive,JFK Assassination,,,0.96064466,0.947357
trivia_qa,17870,formality,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?",What was the Warren Commission set up to investigate?,What was the Warren Commission set up to investigate?,formal to casual,JFK Assassination,,,0.89678603,0.89678603
trivia_qa,2848,lexical,"A Gay Girl in Damascus is the title of a hoax blog by fictional feminist/freedom campaigner Amina Abdallah Alaf al Omari, who in June 2011 was said to be based and abducted in which country?","A Homosexual Woman in Damascus is the name of a deceitful blog by made-up feminist/freedom advocate Amina Abdallah Alaf al Omari, who in June 2011 was claimed to be located and kidnapped in which nation?","A lesbian woman in Damascus is the name of a deceptive blog created by the fictional feminist Amina Abdallah Alaf al Omari, who in June 2011 was reportedly located and kidnapped in which country?","['Gay', 'Girl', 'title', 'hoax', 'fictional', 'feminist', 'freedom campaigner', 'based', 'country']",Syria,,,0.9643333,0.95181984
trivia_qa,2848,syntactic,"A Gay Girl in Damascus is the title of a hoax blog by fictional feminist/freedom campaigner Amina Abdallah Alaf al Omari, who in June 2011 was said to be based and abducted in which country?","The title of a hoax blog by fictional feminist/freedom campaigner Amina Abdallah Alaf al Omari is A Gay Girl in Damascus, where she was claimed to be based and abducted in June 2011?","The title of a satirical blog by feminist/founder of the fictional freedom campaign Amina Abdallah Alaf al Omari is A Gay Girl in Damascus, where she was supposedly based and kidnapped in June 2011.",Changed the structure from a noun phrase to an embedded question,Syria,,,0.9631967,0.9364534
trivia_qa,2848,voice,"A Gay Girl in Damascus is the title of a hoax blog by fictional feminist/freedom campaigner Amina Abdallah Alaf al Omari, who in June 2011 was said to be based and abducted in which country?","In which country was Amina Abdallah Alaf al Omari, a fictional feminist/freedom campaigner, who was claimed to be based and abducted in June 2011, said to be the title of a hoax blog called A Gay Girl in Damascus?","In which country was Amina Abdallah Alaf al Omari, a fictional feminist activist who was allegedly based and kidnapped, the title of a hoax blog called A Gay Girl in Damascus?",active to passive,Syria,,,0.9504079,0.9275038
