task,instance_id,condition,gold_answer,bertscore_f1,bt_bertscore,gpt_orig_answer,gpt_para_answer,gpt_orig_logprob,gpt_para_logprob,llama_orig_answer,llama_para_answer,gemma_orig_answer,gemma_para_answer
trivia_qa,3648,lexical,Khaki,0.9887549877166748,0.9887549877166748,Khaki uniforms,Khaki uniforms,-0.114373215,-0.26297832,"The Khaki uniform. In 1845, the British Army introduced khaki uniforms as a lighter color to make it easier for Indian troops to distinguish themselves from local civilians and avoid suspicion during military operations. This change aimed to improve their effectiveness","The Indian flannel jacket. This is the correct answer to the trivia question as it refers to the initial uniform worn by British soldiers in India in 1845, which consisted of a dark blue coat and trousers, along with a white shirt","The first uniform worn by British soldiers in India in 1845 was the ""Solemn League Coat of Arms"" (SLCA). This coat of arms featured a shield with a lion's head and claws, symbolizing loyalty to the","The ""Sole"""
trivia_qa,3648,syntactic,Khaki,0.9689446091651917,0.984305739402771,Khaki uniforms,Khaki uniforms,-0.13630614,-0.08494285,"The Khaki uniform. In 1845, the British Army introduced khaki uniforms as a lighter color to make it easier for Indian troops to distinguish themselves from local civilians and avoid suspicion during military operations. This change aimed to improve their effectiveness","Khaki uniforms. The khaki uniform was introduced by the British Army in India in 1845 as a practical alternative to the traditional red coats worn by Indian troops, which were considered unsuitable for use in tropical climates. The name ""","The first uniform worn by British soldiers in India in 1845 was the ""Solemn League Coat of Arms"" (SLCA). This coat of arms featured a shield with a lion's head and claws, symbolizing loyalty to the","The British soldiers in India first wore the ""Sole"" in 1845. This was a distinctive badge that identified them as British troops and was worn on their left shoulder. It became an iconic symbol of British rule in India, representing"
trivia_qa,3648,voice,Khaki,0.9689446091651917,0.984305739402771,Khaki uniforms,Khaki uniforms,-0.12671734,-0.08494285,"The Khaki uniform. In 1845, the British Army introduced khaki uniforms as a lighter color to make it easier for Indian troops to distinguish themselves from local civilians and avoid suspicion during military operations. This change aimed to improve their effectiveness","Khaki uniforms. The khaki uniform was introduced by the British Army in India in 1845 as a practical alternative to the traditional red coats worn by Indian troops, which were considered unsuitable for use in tropical climates. The name ""","The first uniform worn by British soldiers in India in 1845 was the ""Solemn League Coat of Arms"" (SLCA). This coat of arms featured a shield with a lion's head and claws, symbolizing loyalty to the","The British soldiers in India first wore the ""Sole"" in 1845. This was a distinctive badge that identified them as British troops and was worn on their left shoulder. It became an iconic symbol of British rule in India, representing"
trivia_qa,3648,formality,Khaki,0.9782121181488037,0.984305739402771,Khaki uniforms,Khaki uniforms,-0.11526319,-0.31149694,"The Khaki uniform. In 1845, the British Army introduced khaki uniforms as a lighter color to make it easier for Indian troops to distinguish themselves from local civilians and avoid suspicion during military operations. This change aimed to improve their effectiveness","Khaki uniforms. In 1845, British soldiers in India wore khaki uniforms for the first time as part of their uniform changes to adapt to the changing climate and terrain of the subcontinent. The khaki color was chosen because it","The first uniform worn by British soldiers in India in 1845 was the ""Solemn League Coat of Arms"" (SLCA). This coat of arms featured a shield with a lion's head and claws, symbolizing loyalty to the",The Oxford military uniform. 
trivia_qa,819,lexical,Al Capone,0.9706128835678101,0.9823194146156311,Al Capone,Roy Gardner,-0.014043973,-0.3661839,"John ""Machine Gun"" Kelly.","Robert Stroud, also known as the ""Birdman of Alcatraz,"" was released from Alcatraz prison on November 23, 1939. He had been serving time for murder and attempted rape. Stroud became famous",John D. Rock,Robert E. Lee
trivia_qa,819,syntactic,Al Capone,0.9872773885726929,0.983468234539032,Al Capone,Al Capone,-0.014043973,-0.017688133,"John ""Machine Gun"" Kelly.","George ""Machine Gun"" Kelly. To find the answer to this trivia question, I would search for information about the release of a US gangster from Alcatraz prison in November 1939. After researching, it is clear that George",John D. Rock,"John D. Rockwell Jr. (also known as ""The Rock"")"
trivia_qa,819,voice,Al Capone,0.9583971500396729,0.9560739398002625,Al Capone,Al Capone,-0.014043973,-0.0061243135,"John ""Machine Gun"" Kelly.",Al Capone.,John D. Rock,Jack D. Charles
trivia_qa,819,formality,Al Capone,0.9638146162033081,0.969672441482544,Al Capone,Frank Morris,-0.010439278,-0.7530445,"John ""Machine Gun"" Kelly.","John ""Doc"" Miller. To find the answer to this trivia question, I would search for information about Alcatraz inmates and their escape attempts. After researching, it is clear that John ""Doc"" Miller was an inmate at Alcatraz who",John D. Rock,John D. Rockwell Jr.
trivia_qa,9012,lexical,Apache,0.9642025828361511,0.9476099014282227,Apache,Chiricahua Apache,-0.4159561,-0.5657634,The Apache tribe.,The Chiricahua Apache.,Navajo,Navajo
trivia_qa,9012,syntactic,Apache,0.952244222164154,0.9309532642364502,Apache,Apache,-0.4159561,-0.08931064,The Apache tribe.,Geronimo was the chief of the Apache tribe.,Navajo,Apache
trivia_qa,9012,voice,Apache,0.9775428175926208,0.9673592448234558,Apache,Chiricahua Apache,-0.4159561,-0.635087,The Apache tribe.,The Apache.,Navajo,Navajo Tribe
trivia_qa,9012,formality,Apache,0.9479769468307495,0.9476099014282227,Apache,Apache,-0.4159561,-0.48572665,The Apache tribe.,The Apache.,Navajo,Navajo tribe
trivia_qa,8024,lexical,Squadron Leader,0.9856611490249634,0.9844139814376831,Squadron Leader,Squadron Leader,-0.11010477,-0.43842244,Flying Officer,Flying Officer,Air Chief Marshal,Air Vice-Marshal
trivia_qa,8024,syntactic,Squadron Leader,0.9893794059753418,0.9733909368515015,Squadron Leader,Squadron Leader,-0.109583326,-0.18651937,Flying Officer,The rank of Squadron Leader in the Royal Air Force (RAF) corresponds to that of Major in the British Army.,Air Chief Marshal,Air Chief Marshal
trivia_qa,8024,voice,Squadron Leader,0.9960863590240479,0.9733909368515015,Squadron Leader,Squadron Leader,-0.11010477,-0.12586989,Flying Officer,Flying Officer,Air Chief Marshal,Air Chief Marshal (ACM)
trivia_qa,8024,formality,Squadron Leader,0.9589456915855408,0.9733909368515015,Squadron Leader,Squadron Leader,-0.16628112,-0.4077219,Flying Officer,Captain,Air Chief Marshal,Air Chief Marshal (ACM)
trivia_qa,7314,lexical,VICTORIA,0.972973644733429,0.9584006667137146,Victoria,Victoria,-0.005180628,-0.0065637953,"Vancouver. The capital city of British Columbia, Canada is Vancouver. It's located on the southern coast of the province and serves as its largest city and economic center.",The capital city of British Columbia is Victoria.,Vancouver,Vancouver
trivia_qa,7314,syntactic,VICTORIA,0.955108106136322,0.953441858291626,Victoria,Victoria,-0.005180628,-0.005128208,"Vancouver. The capital city of British Columbia, Canada is Vancouver. It's located on the southern coast of the province and serves as its largest city and economic center.",The capital city of the Canadian province of British Columbia is called Victoria.,Vancouver,Vancouver. 
trivia_qa,7314,voice,VICTORIA,0.9676668047904968,0.9570932984352112,Victoria,Victoria,-0.0059847278,-0.003705539,"Vancouver. The capital city of British Columbia, Canada is Vancouver. It's located on the southern coast of the province and serves as its largest city and economic center.","Victoria. The capital city of British Columbia, Canada is Victoria. It's located on Vancouver Island and serves as the provincial capital.",Vancouver,"Vancouver, BC. "
trivia_qa,7314,formality,VICTORIA,0.9683635234832764,0.9570932984352112,Victoria,Victoria,-0.0059847278,-0.007998026,"Vancouver. The capital city of British Columbia, Canada is Vancouver. It's located on the southern coast of the province and serves as its largest city and economic center.","Victoria. The capital city of British Columbia, Canada is Victoria. It was founded in 1852 and named after Queen Victoria. Today, it serves as the provincial capital and home to many government offices, including the BC Legislature. Victoria is",Vancouver,"Vancouver, BC. "
trivia_qa,4572,lexical,Tobacco or alcohol,0.9692822098731995,0.9874711632728577,Smoking,Smoking,-0.14764316,-0.29721567,Smoking.,Smoking.,smoking. ,alcohol use. 
trivia_qa,4572,syntactic,Tobacco or alcohol,0.94664466381073,0.9426551461219788,Smoking,Yes.,-0.13140607,-0.5889093,Smoking.,Quitline is a system of centers that helps people to quit smoking.,smoking. ,"Quitline is a system of centers designed to assist individuals in quitting smoking. It provides support, resources, and information on various aspects of quitting smoking, including counseling, education, and referral services. The goal is to help smokers achieve long-term cessation and"
trivia_qa,4572,voice,Tobacco or alcohol,0.9442782402038574,0.9426551461219788,Smoking,Yes.,-0.14764316,-0.52922136,Smoking.,Quitline is a system of centers to help people quit smoking.,smoking. ,"Quitline is a system of centers designed to assist individuals in quitting smoking. It provides support, resources, and information on various aspects of quitting smoking, including counseling, education, and referral services. The goal is to help smokers achieve long-term cessation and"
trivia_qa,4572,formality,Tobacco or alcohol,0.9045294523239136,0.9021794199943542,Smoking,Smoking.,-0.08769704,-0.008302147,Smoking.,Quitline centers help people quit smoking.,smoking. ,Alcohol and drug addiction treatment services. 
trivia_qa,3358,lexical,E,0.9691940546035767,0.9579668641090393,E (E4),E6,-0.0052762115,-0.033705987,The top string on a six-string guitar is typically tuned to E.,"The highest string on a six-string guitar is typically adjusted to A440. This note corresponds to middle C, and it's commonly used as the standard tuning for classical guitars. However, different tunings are also possible depending on the style of",E,12th string. 
trivia_qa,3358,syntactic,E,0.9878952503204346,0.9867460131645203,E (E4),E (E4),-0.0057780505,-0.0034789052,The top string on a six-string guitar is typically tuned to E.,The top string on a six-string guitar is typically tuned to E.,E,E
trivia_qa,3358,voice,E,0.9878952503204346,0.9867460131645203,E (E4),E (E4),-0.0052762115,-0.0034726132,The top string on a six-string guitar is typically tuned to E.,The top string on a six-string guitar is typically tuned to E.,E,E
trivia_qa,3358,formality,E,0.9736559391021729,0.9546629786491394,E (E4),E (high E),-0.0052739573,-0.015995773,The top string on a six-string guitar is typically tuned to E.,A440,E,E
trivia_qa,17870,lexical,JFK Assassination,0.9738622903823853,0.9788458347320557,The assassination of President John F. Kennedy.,The assassination of President John F. Kennedy.,-0.016491769,-0.011226542,Assassination of President John F. Kennedy,Assassination of President John F. Kennedy,Watergate scandal,The Watergate Scandal. 
trivia_qa,17870,syntactic,JFK Assassination,0.9587504863739014,0.9544631838798523,The assassination of President John F. Kennedy.,The assassination of President John F. Kennedy.,-0.016491769,-0.10429293,Assassination of President John F. Kennedy,assassination of President John F. Kennedy,Watergate scandal,Watergate scandal. 
trivia_qa,17870,voice,JFK Assassination,0.9606446623802185,0.9473569989204407,The assassination of President John F. Kennedy.,The assassination of President John F. Kennedy.,-0.016491769,-0.07330201,Assassination of President John F. Kennedy,The assassination of President John F. Kennedy.,Watergate scandal,Watergate scandal. 
trivia_qa,17870,formality,JFK Assassination,0.8967860341072083,0.8967860341072083,The assassination of President John F. Kennedy.,The assassination of President John F. Kennedy.,-0.016088687,-0.01224485,Assassination of President John F. Kennedy,The Warren Commission was established in 1963 to investigate the assassination of President John F. Kennedy.,Watergate scandal,"The Warren Commission was set up to investigate the 1962 Oklahoma City bombing. It was created by President Lyndon B. Johnson and included members from both sides of the political spectrum, including former FBI Director J. Edgar Hoover and former Attorney"
trivia_qa,2848,lexical,Syria,0.9643332958221436,0.9518198370933533,Syria,Syria,-0.0006517939,-0.00064738706,"Syria. The hoax blog ""A Gay Girl in Damascus"" was created as part of a larger online campaign against Syrian President Bashar al-Assad's regime during the Arab Spring protests in 2011. It falsely claimed that Amina Abdallah Al","Syria. The blog ""A Homosexual Woman in Damascus"" was created as a hoax by Syrian blogger Amina Abdallah Alaf al Omari, who claimed that she had been kidnapped in Syria in June 2011. However, it",Syria,Syria
trivia_qa,2848,syntactic,Syria,0.9631966948509216,0.9364534020423889,Syria,A Gay Girl in Damascus,-0.0006517939,-0.36479115,"Syria. The hoax blog ""A Gay Girl in Damascus"" was created as part of a larger online campaign against Syrian President Bashar al-Assad's regime during the Arab Spring protests in 2011. It falsely claimed that Amina Abdallah Al","""The Onion"" Answer:",Syria,"""A Gay Girl in Damascus"" is the title of Amina Abdallah Alaf al Omari's hoax blog. It was created as part of her campaign for women's rights and freedom, claiming to have been kidnapped and abductee in June"
